Id,PostTypeId,CreationDate,Score,ViewCount,Tags,AnswerCount,FavoriteCount
"46451","2","2019-03-01 08:56:23","8","","","",""
"46452","1","2019-03-01 09:01:14","0","131","<lstm><loss-function><epochs>","1",""
"46453","1","2019-03-01 09:02:19","2","96","<deep-learning><cnn>","0","1"
"46454","1","2019-03-01 09:08:53","0","653","<time-series><clustering><unsupervised-learning><anomaly-detection>","2",""
"46455","2","2019-03-01 09:21:03","0","","","",""
"46456","1","2019-03-01 09:22:37","1","1174","<machine-learning><python><dataset><training><object-detection>","1","0"
"46457","1","2019-03-01 09:59:36","2","58","<lstm><code>","1","1"
"46459","1","2019-03-01 10:27:30","1","26","<lstm>","0","2"
"46460","2","2019-03-01 10:45:16","0","","","",""
"46462","2","2019-03-01 12:01:22","2","","","",""
"46464","2","2019-03-01 12:12:39","1","","","",""
"46466","2","2019-03-01 12:33:47","0","","","",""
"46467","2","2019-03-01 12:42:15","1","","","",""
"46468","2","2019-03-01 13:09:23","1","","","",""
"46469","1","2019-03-01 13:45:07","2","131","<reinforcement-learning>","2",""
"46470","1","2019-03-01 14:23:48","1","97","<classification><regression><feature-extraction><feature-engineering>","0","1"
"46471","1","2019-03-01 14:37:46","1","269","<pytorch>","1",""
"46472","1","2019-03-01 15:16:07","1","137","<scikit-learn><decision-trees>","2","1"
"46473","1","2019-03-01 15:31:04","0","73","<machine-learning><neural-network><lstm><recurrent-neural-net>","1",""
"46474","2","2019-03-01 15:56:21","0","","","",""
"46475","2","2019-03-01 16:37:04","1","","","",""
"46477","2","2019-03-01 16:42:07","0","","","",""
"46479","2","2019-03-01 17:11:23","0","","","",""
"46480","2","2019-03-01 17:16:40","1","","","",""
"46483","1","2019-03-01 18:10:18","7","1635","<classification><multiclass-classification>","5","2"
"46484","2","2019-03-01 18:18:54","3","","","",""
"46485","2","2019-03-01 18:32:29","0","","","",""
"46487","2","2019-03-01 18:40:26","0","","","",""
"46488","1","2019-03-01 19:59:18","1","797","<python><deep-learning><keras><regression>","2",""
"46489","1","2019-03-01 20:09:29","0","60","<machine-learning><pca>","2",""
"46490","2","2019-03-01 20:33:44","1","","","",""
"46491","1","2019-03-01 20:43:03","11","7932","<keras><lstm>","2","5"
"46492","1","2019-03-01 20:50:38","1","68","<machine-learning><cnn>","1",""
"46493","1","2019-03-01 20:57:56","0","52","<deep-learning><recommender-system><word2vec><similarity>","1",""
"46494","1","2019-03-01 20:59:04","0","82","<classification>","3",""
"46495","2","2019-03-01 21:15:04","0","","","",""
"46496","2","2019-03-01 21:24:55","0","","","",""
"46497","2","2019-03-01 22:11:02","1","","","",""
"46498","2","2019-03-01 22:18:44","1","","","",""
"46499","2","2019-03-01 22:26:24","1","","","",""
"46500","1","2019-03-01 22:32:36","1","21","<clustering><recommender-system>","0","0"
"46501","1","2019-03-01 23:01:26","2","31","<machine-learning><dataset><machine-learning-model><audio-recognition>","1",""
"46504","2","2019-03-02 02:37:28","6","","","",""
"46505","2","2019-03-02 02:53:16","1","","","",""
"46506","2","2019-03-02 04:45:05","0","","","",""
"46507","1","2019-03-02 05:58:05","3","429","<lstm>","1","2"
"46508","1","2019-03-02 06:33:53","1","132","<gan>","1",""
"46510","1","2019-03-02 07:53:51","1","41","<clustering><text-mining><anomaly-detection>","0",""
"46512","2","2019-03-02 08:47:56","0","","","",""
"46513","2","2019-03-02 09:25:34","1","","","",""
"46514","1","2019-03-02 10:05:54","1","1597","<machine-learning><data-mining><svm><logistic-regression><multiclass-classification>","1",""
"46515","1","2019-03-02 10:25:00","1","11","<lstm>","0","1"
"46516","2","2019-03-02 10:41:05","2","","","",""
"46518","1","2019-03-02 11:03:48","1","260","<machine-learning><logistic-regression><naive-bayes-classifier>","3",""
"46519","2","2019-03-02 11:16:47","0","","","",""
"46522","2","2019-03-02 12:23:49","0","","","",""
"46523","1","2019-03-02 13:28:37","2","3122","<deep-learning><tensorflow>","3",""
"46524","2","2019-03-02 13:55:41","3","","","",""
"46526","1","2019-03-02 14:06:33","1","18","<machine-learning><regression>","0",""
"46527","1","2019-03-02 14:33:24","0","50","<time-series>","1",""
"46528","1","2019-03-02 15:31:41","0","15","<python><statistics><ipython><descriptive-statistics><math>","1",""
"46529","2","2019-03-02 16:01:46","1","","","",""
"46530","2","2019-03-02 16:19:12","0","","","",""
"46531","2","2019-03-02 16:29:35","0","","","",""
"46532","2","2019-03-02 17:01:25","0","","","",""
"46534","2","2019-03-02 17:39:38","4","","","",""
"46535","2","2019-03-02 17:59:10","3","","","",""
"46536","2","2019-03-02 18:12:01","1","","","",""
"46537","2","2019-03-02 18:12:11","1","","","",""
"46538","1","2019-03-02 18:24:54","0","129","<machine-learning><regression>","1",""
"46540","1","2019-03-02 18:50:55","0","167","<deep-learning><lstm><recurrent-neural-net>","1",""
"46541","1","2019-03-02 19:05:52","1","2414","<python><pandas><dataframe>","2",""
"46543","2","2019-03-02 20:04:23","3","","","",""
"46544","2","2019-03-02 20:50:47","0","","","",""
"46545","1","2019-03-02 21:06:50","0","4154","<python><nltk>","2",""
"46546","1","2019-03-02 21:19:02","0","26","<math>","2",""
"46549","2","2019-03-02 23:47:47","0","","","",""
