Category: All categories

Week,Data science: (United States),Machine Learning: (United States),Deep Learning: (United States),Data Analytics: (United States)
2015-08-23,43,35,8,26
2015-08-30,45,32,9,26
2015-09-06,49,37,8,23
2015-09-13,46,40,8,27
2015-09-20,43,36,8,27
2015-09-27,39,35,8,23
2015-10-04,39,33,10,28
2015-10-11,42,35,10,28
2015-10-18,40,42,12,28
2015-10-25,39,36,10,29
2015-11-01,39,38,10,26
2015-11-08,34,44,13,25
2015-11-15,33,37,10,26
2015-11-22,24,27,9,19
2015-11-29,35,39,9,21
2015-12-06,36,38,12,25
2015-12-13,33,36,13,26
2015-12-20,23,23,9,16
2015-12-27,24,19,7,15
2016-01-03,37,29,10,22
2016-01-10,35,34,11,21
2016-01-17,43,38,12,26
2016-01-24,47,35,17,24
2016-01-31,40,35,11,28
2016-02-07,37,37,10,26
2016-02-14,35,37,10,29
2016-02-21,38,36,13,27
2016-02-28,33,38,12,24
2016-03-06,37,38,18,27
2016-03-13,38,39,17,30
2016-03-20,37,39,14,27
2016-03-27,38,46,16,28
2016-04-03,40,41,17,25
2016-04-10,39,41,16,28
2016-04-17,39,38,13,27
2016-04-24,37,39,12,30
2016-05-01,34,42,14,30
2016-05-08,36,38,12,28
2016-05-15,38,40,15,25
2016-05-22,34,39,14,29
2016-05-29,32,40,14,25
2016-06-05,33,40,13,28
2016-06-12,32,39,14,27
2016-06-19,36,46,18,28
2016-06-26,35,44,16,26
2016-07-03,31,34,16,22
2016-07-10,35,39,14,25
2016-07-17,34,34,14,26
2016-07-24,29,38,17,24
2016-07-31,33,37,12,30
2016-08-07,35,38,17,28
2016-08-14,38,39,10,21
2016-08-21,43,42,15,28
2016-08-28,46,43,16,25
2016-09-04,50,44,14,27
2016-09-11,54,51,15,29
2016-09-18,48,47,18,31
2016-09-25,46,48,19,27
2016-10-02,45,50,18,31
2016-10-09,43,48,19,33
2016-10-16,45,49,14,33
2016-10-23,44,57,19,32
2016-10-30,44,50,17,29
2016-11-06,39,51,16,30
2016-11-13,46,56,17,38
2016-11-20,36,46,18,26
2016-11-27,44,58,20,32
2016-12-04,47,56,22,31
2016-12-11,47,59,22,27
2016-12-18,38,53,18,23
2016-12-25,28,36,13,18
2017-01-01,45,46,21,30
2017-01-08,56,52,23,31
2017-01-15,54,54,25,32
2017-01-22,63,56,24,35
2017-01-29,59,65,25,39
