Category: All categories

Week,Data science: (Worldwide),Machine Learning: (Worldwide),Deep Learning: (Worldwide),Data Analytics: (Worldwide)
2015-08-23,20,22,7,17
2015-08-30,21,24,7,18
2015-09-06,22,25,7,18
2015-09-13,22,24,7,18
2015-09-20,20,25,8,19
2015-09-27,21,25,9,18
2015-10-04,22,26,8,18
2015-10-11,20,26,8,16
2015-10-18,21,25,8,17
2015-10-25,21,26,9,19
2015-11-01,20,28,8,17
2015-11-08,19,34,11,17
2015-11-15,19,29,8,17
2015-11-22,17,27,9,16
2015-11-29,20,29,9,16
2015-12-06,20,28,10,18
2015-12-13,19,30,11,17
2015-12-20,13,23,9,12
2015-12-27,15,20,7,12
2016-01-03,21,26,9,17
2016-01-10,21,28,9,16
2016-01-17,22,28,13,19
2016-01-24,24,30,16,18
2016-01-31,22,29,12,19
2016-02-07,22,28,10,19
2016-02-14,22,28,11,20
2016-02-21,22,30,12,20
2016-02-28,21,30,11,20
2016-03-06,21,31,15,19
2016-03-13,21,32,17,20
2016-03-20,21,32,14,18
2016-03-27,22,33,14,20
2016-04-03,21,32,16,21
2016-04-10,22,31,14,20
2016-04-17,21,32,13,20
2016-04-24,22,33,13,20
2016-05-01,21,31,13,19
2016-05-08,23,32,14,24
2016-05-15,22,34,14,21
2016-05-22,23,33,14,21
2016-05-29,21,32,14,20
2016-06-05,21,34,14,21
2016-06-12,21,33,14,19
2016-06-19,23,34,14,21
2016-06-26,21,33,15,22
2016-07-03,22,31,14,20
2016-07-10,22,31,13,19
2016-07-17,22,31,13,22
2016-07-24,21,32,12,22
2016-07-31,23,33,14,21
2016-08-07,22,32,14,20
2016-08-14,21,29,10,19
2016-08-21,26,35,14,20
2016-08-28,27,33,15,20
2016-09-04,27,35,13,21
2016-09-11,29,36,15,23
2016-09-18,28,40,15,22
2016-09-25,28,42,15,23
2016-10-02,26,41,17,22
2016-10-09,28,39,17,23
2016-10-16,28,45,17,24
2016-10-23,27,44,18,22
2016-10-30,26,42,18,23
2016-11-06,28,42,16,23
2016-11-13,30,48,18,26
2016-11-20,25,42,19,22
2016-11-27,29,46,20,24
2016-12-04,28,47,24,23
2016-12-11,29,47,19,22
2016-12-18,27,43,19,20
2016-12-25,20,34,16,15
2017-01-01,29,44,20,22
2017-01-08,33,50,22,24
2017-01-15,34,51,23,25
2017-01-22,35,50,22,26
2017-01-29,37,51,22,26
2017-02-05,34,53,22,27
2017-02-12,33,54,23,26
2017-02-19,35,52,23,27
2017-02-26,36,56,25,29
2017-03-05,35,56,24,27
2017-03-12,34,58,26,25
2017-03-19,35,57,25,28
2017-03-26,35,59,25,27
2017-04-02,37,58,27,30
2017-04-09,34,59,25,28
2017-04-16,35,57,26,27
2017-04-23,36,60,26,29
2017-04-30,36,58,24,28
2017-05-07,35,60,26,29
2017-05-14,34,62,25,28
2017-05-21,35,62,27,28
2017-05-28,33,58,24,25
2017-06-04,34,63,24,27
2017-06-11,34,62,24,26
2017-06-18,33,64,27,29
2017-06-25,34,58,25,26
2017-07-02,33,59,23,26
2017-07-09,36,59,25,28
2017-07-16,35,60,26,27
2017-07-23,36,62,25,26
2017-07-30,37,62,25,29
2017-08-06,35,60,28,29
2017-08-13,37,59,27,25
2017-08-20,41,59,26,27
2017-08-27,40,63,26,26
2017-09-03,40,65,29,28
2017-09-10,44,71,31,29
2017-09-17,44,68,30,29
2017-09-24,40,67,29,29
2017-10-01,42,69,26,27
2017-10-08,44,72,30,29
2017-10-15,42,68,30,27
2017-10-22,43,78,29,31
2017-10-29,44,76,29,29
2017-11-05,44,81,32,30
2017-11-12,45,76,32,30
2017-11-19,37,69,30,28
2017-11-26,41,77,31,31
2017-12-03,44,77,35,28
2017-12-10,43,77,33,28
2017-12-17,38,71,31,23
2017-12-24,33,55,27,17
2017-12-31,42,63,27,25
2018-01-07,45,73,32,29
2018-01-14,47,74,31,29
2018-01-21,47,74,30,28
2018-01-28,49,79,35,31
2018-02-04,45,77,31,32
2018-02-11,45,75,29,30
2018-02-18,48,74,31,32
2018-02-25,48,80,30,30
2018-03-04,51,83,31,31
2018-03-11,46,79,31,31
2018-03-18,49,82,31,34
2018-03-25,48,79,31,32
2018-04-01,48,78,31,30
2018-04-08,47,80,34,34
2018-04-15,46,79,33,32
2018-04-22,46,78,31,29
2018-04-29,46,74,29,31
2018-05-06,47,80,31,32
2018-05-13,48,77,33,32
2018-05-20,49,81,32,32
2018-05-27,46,76,31,31
2018-06-03,51,80,33,31
2018-06-10,47,79,31,27
2018-06-17,44,79,30,28
2018-06-24,44,77,29,28
2018-07-01,45,74,29,28
2018-07-08,51,78,30,31
2018-07-15,51,79,31,31
2018-07-22,49,75,29,32
2018-07-29,51,77,28,33
2018-08-05,50,80,28,32
2018-08-12,48,74,25,29
2018-08-19,52,80,28,29
2018-08-26,54,79,31,31
2018-09-02,58,82,30,30
2018-09-09,56,84,31,31
2018-09-16,58,84,32,31
2018-09-23,56,85,30,32
2018-09-30,56,88,32,31
2018-10-07,55,87,32,32
2018-10-14,56,87,33,32
2018-10-21,55,87,32,31
2018-10-28,54,83,32,31
2018-11-04,53,79,32,29
2018-11-11,55,87,31,31
2018-11-18,51,81,30,29
2018-11-25,58,89,34,30
2018-12-02,55,88,33,32
2018-12-09,54,85,31,30
2018-12-16,50,80,30,27
2018-12-23,41,63,22,21
2018-12-30,47,64,23,25
2019-01-06,61,82,32,32
2019-01-13,62,83,31,32
2019-01-20,61,84,30,33
2019-01-27,61,86,32,33
2019-02-03,63,86,30,34
2019-02-10,60,87,33,33
2019-02-17,64,90,31,35
2019-02-24,63,88,34,33
2019-03-03,62,90,33,34
2019-03-10,61,89,34,34
2019-03-17,63,89,32,32
2019-03-24,63,89,33,34
2019-03-31,64,86,34,34
2019-04-07,61,89,33,33
2019-04-14,59,83,33,30
2019-04-21,59,84,32,33
2019-04-28,60,82,30,33
2019-05-05,61,87,31,31
2019-05-12,62,89,32,33
2019-05-19,62,86,31,33
2019-05-26,62,84,32,31
2019-06-02,64,87,30,33
2019-06-09,65,91,33,33
2019-06-16,68,93,33,34
2019-06-23,65,91,32,34
2019-06-30,65,84,30,33
2019-07-07,67,88,33,36
2019-07-14,65,88,31,34
2019-07-21,69,85,31,33
2019-07-28,68,88,28,34
2019-08-04,65,85,28,33
2019-08-11,68,82,31,34
2019-08-18,76,93,32,36
2019-08-25,76,91,32,38
2019-09-01,73,89,33,35
2019-09-08,78,96,34,38
2019-09-15,78,97,32,39
2019-09-22,78,99,31,38
2019-09-29,75,91,31,36
2019-10-06,75,93,34,38
2019-10-13,75,96,34,39
2019-10-20,72,93,31,36
2019-10-27,69,85,30,35
2019-11-03,73,96,33,39
2019-11-10,74,93,32,38
2019-11-17,77,94,34,38
2019-11-24,64,90,31,34
2019-12-01,75,97,34,38
2019-12-08,68,94,32,35
2019-12-15,67,89,31,35
2019-12-22,58,71,26,26
2019-12-29,63,70,24,28
2020-01-05,78,93,32,37
2020-01-12,79,95,32,37
2020-01-19,77,94,32,37
2020-01-26,79,94,32,37
2020-02-02,79,94,31,39
2020-02-09,82,96,34,38
2020-02-16,85,100,34,42
2020-02-23,84,100,36,38
2020-03-01,81,95,33,41
2020-03-08,72,84,30,35
2020-03-15,61,75,27,30
2020-03-22,61,75,26,27
2020-03-29,64,77,29,30
2020-04-05,69,81,30,30
2020-04-12,72,86,31,33
2020-04-19,73,87,31,34
2020-04-26,71,88,32,33
2020-05-03,68,90,32,34
2020-05-10,73,88,33,37
2020-05-17,71,91,32,34
2020-05-24,70,86,31,33
2020-05-31,72,86,29,35
2020-06-07,75,86,32,35
2020-06-14,71,85,33,37
2020-06-21,75,87,32,35
2020-06-28,76,84,31,34
2020-07-05,75,85,31,37
2020-07-12,76,87,33,39
2020-07-19,79,85,31,37
2020-07-26,76,84,30,37
2020-08-02,75,82,29,37
2020-08-09,77,81,28,35
2020-08-16,79,85,30,34
