week,data_science,first_diff
2015-08-30,45,2.0
2015-09-06,49,4.0
2015-09-13,46,-3.0
2015-09-20,43,-3.0
2015-09-27,39,-4.0
2015-10-04,39,0.0
2015-10-11,42,3.0
2015-10-18,40,-2.0
2015-10-25,39,-1.0
2015-11-01,39,0.0
2015-11-08,34,-5.0
2015-11-15,33,-1.0
2015-11-22,24,-9.0
2015-11-29,35,11.0
2015-12-06,36,1.0
2015-12-13,33,-3.0
2015-12-20,23,-10.0
2015-12-27,24,1.0
2016-01-03,37,13.0
2016-01-10,35,-2.0
2016-01-17,43,8.0
2016-01-24,47,4.0
2016-01-31,40,-7.0
2016-02-07,37,-3.0
2016-02-14,35,-2.0
2016-02-21,38,3.0
2016-02-28,33,-5.0
2016-03-06,37,4.0
2016-03-13,38,1.0
2016-03-20,37,-1.0
2016-03-27,38,1.0
2016-04-03,40,2.0
2016-04-10,39,-1.0
2016-04-17,39,0.0
2016-04-24,37,-2.0
2016-05-01,34,-3.0
2016-05-08,36,2.0
2016-05-15,38,2.0
2016-05-22,34,-4.0
2016-05-29,32,-2.0
2016-06-05,33,1.0
2016-06-12,32,-1.0
2016-06-19,36,4.0
2016-06-26,35,-1.0
2016-07-03,31,-4.0
2016-07-10,35,4.0
2016-07-17,34,-1.0
2016-07-24,29,-5.0
2016-07-31,33,4.0
2016-08-07,35,2.0
2016-08-14,38,3.0
2016-08-21,43,5.0
2016-08-28,46,3.0
2016-09-04,50,4.0
2016-09-11,54,4.0
2016-09-18,48,-6.0
2016-09-25,46,-2.0
2016-10-02,45,-1.0
2016-10-09,43,-2.0
2016-10-16,45,2.0
2016-10-23,44,-1.0
2016-10-30,44,0.0
2016-11-06,39,-5.0
2016-11-13,46,7.0
2016-11-20,36,-10.0
2016-11-27,44,8.0
2016-12-04,47,3.0
2016-12-11,47,0.0
2016-12-18,38,-9.0
2016-12-25,28,-10.0
2017-01-01,45,17.0
2017-01-08,56,11.0
2017-01-15,54,-2.0
2017-01-22,63,9.0
2017-01-29,59,-4.0
2017-02-05,51,-8.0
2017-02-12,49,-2.0
2017-02-19,55,6.0
2017-02-26,57,2.0
2017-03-05,57,0.0
2017-03-12,50,-7.0
2017-03-19,55,5.0
2017-03-26,57,2.0
2017-04-02,59,2.0
2017-04-09,50,-9.0
2017-04-16,55,5.0
2017-04-23,58,3.0
2017-04-30,56,-2.0
2017-05-07,53,-3.0
2017-05-14,47,-6.0
2017-05-21,49,2.0
2017-05-28,46,-3.0
2017-06-04,47,1.0
2017-06-11,47,0.0
2017-06-18,44,-3.0
2017-06-25,49,5.0
2017-07-02,40,-9.0
2017-07-09,50,10.0
2017-07-16,48,-2.0
2017-07-23,52,4.0
2017-07-30,48,-4.0
2017-08-06,51,3.0
2017-08-13,52,1.0
2017-08-20,62,10.0
2017-08-27,61,-1.0
2017-09-03,68,7.0
2017-09-10,70,2.0
2017-09-17,69,-1.0
2017-09-24,68,-1.0
2017-10-01,61,-7.0
2017-10-08,65,4.0
2017-10-15,64,-1.0
2017-10-22,64,0.0
2017-10-29,63,-1.0
2017-11-05,61,-2.0
2017-11-12,65,4.0
2017-11-19,42,-23.0
