week,data_science,first_diff
2015-08-30,21,1.0
2015-09-06,22,1.0
2015-09-13,22,0.0
2015-09-20,20,-2.0
2015-09-27,21,1.0
2015-10-04,22,1.0
2015-10-11,20,-2.0
2015-10-18,21,1.0
2015-10-25,21,0.0
2015-11-01,20,-1.0
2015-11-08,19,-1.0
2015-11-15,19,0.0
2015-11-22,17,-2.0
2015-11-29,20,3.0
2015-12-06,20,0.0
2015-12-13,19,-1.0
2015-12-20,13,-6.0
2015-12-27,15,2.0
2016-01-03,21,6.0
2016-01-10,21,0.0
2016-01-17,22,1.0
2016-01-24,24,2.0
2016-01-31,22,-2.0
2016-02-07,22,0.0
2016-02-14,22,0.0
2016-02-21,22,0.0
2016-02-28,21,-1.0
2016-03-06,21,0.0
2016-03-13,21,0.0
2016-03-20,21,0.0
2016-03-27,22,1.0
2016-04-03,21,-1.0
2016-04-10,22,1.0
2016-04-17,21,-1.0
2016-04-24,22,1.0
2016-05-01,21,-1.0
2016-05-08,23,2.0
2016-05-15,22,-1.0
2016-05-22,23,1.0
2016-05-29,21,-2.0
2016-06-05,21,0.0
2016-06-12,21,0.0
2016-06-19,23,2.0
2016-06-26,21,-2.0
2016-07-03,22,1.0
2016-07-10,22,0.0
2016-07-17,22,0.0
2016-07-24,21,-1.0
2016-07-31,23,2.0
2016-08-07,22,-1.0
2016-08-14,21,-1.0
2016-08-21,26,5.0
2016-08-28,27,1.0
2016-09-04,27,0.0
2016-09-11,29,2.0
2016-09-18,28,-1.0
2016-09-25,28,0.0
2016-10-02,26,-2.0
2016-10-09,28,2.0
2016-10-16,28,0.0
2016-10-23,27,-1.0
2016-10-30,26,-1.0
2016-11-06,28,2.0
2016-11-13,30,2.0
2016-11-20,25,-5.0
2016-11-27,29,4.0
2016-12-04,28,-1.0
2016-12-11,29,1.0
2016-12-18,27,-2.0
2016-12-25,20,-7.0
2017-01-01,29,9.0
2017-01-08,33,4.0
2017-01-15,34,1.0
2017-01-22,35,1.0
2017-01-29,37,2.0
2017-02-05,34,-3.0
2017-02-12,33,-1.0
2017-02-19,35,2.0
2017-02-26,36,1.0
2017-03-05,35,-1.0
2017-03-12,34,-1.0
2017-03-19,35,1.0
2017-03-26,35,0.0
2017-04-02,37,2.0
2017-04-09,34,-3.0
2017-04-16,35,1.0
2017-04-23,36,1.0
2017-04-30,36,0.0
2017-05-07,35,-1.0
2017-05-14,34,-1.0
2017-05-21,35,1.0
2017-05-28,33,-2.0
